,precision,recall,f1-score,support
Negatif,0.4444444444444444,0.17391304347826086,0.25,23.0
Netral,0.7209302325581395,0.9393939393939394,0.8157894736842105,132.0
Positif,0.9504950495049505,0.7559055118110236,0.8421052631578947,127.0
accuracy,0.7943262411347518,0.7943262411347518,0.7943262411347518,0.7943262411347518
macro avg,0.7052899088358447,0.6230708315610746,0.6359649122807017,282.0
weighted avg,0.8017655468334232,0.7943262411347518,0.781494960806271,282.0
